"5A","SP","","4444","",""
"5B","MO","","4444","",""
"5C","EU","","4444","",""
"6A","RA","","4444","",""
"6B","AL","","4444","",""
"6C","SI","","4444","",""
"6D","HO","","4444","",""
"6E","TR","","4444","",""
"7A","DU","","4444","",""
"7B","NA","","4444","_2_a",""
"7C","RU","","4444","_2_b",""
"7D","NE","","4444","",""
"8A","SC","","4444","",""
"8B","TA","","4444","",""
"8C","ZI","","4444","",""
"8D","HS","","4444","",""
"8E","UL","","4444","",""
"9A","GR","","4444","",""
"9B","TU","","4444","",""
"9C","ST","","4444","",""
"9D","SG","","4444","_2_3",""
"9E","MÜ","","4444","",""
"10A","KA","","4444","",""
"10B","LA","","4444","",""
"10C","VI","","4444","",""
"10D","SN","","4444","",""
"10E","HA","","4444","",""
